"state","county","precinct","office","candidate","party","votes"
"Alabama","DeKalb","RODENTOWN COMM CTR","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",0
"Alabama","DeKalb","RODENTOWN COMM CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",59
"Alabama","DeKalb","RODENTOWN COMM CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",237
"Alabama","DeKalb","RODENTOWN COMM CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",0
"Alabama","DeKalb","RODENTOWN COMM CTR","DeKALB COUNTY SHERIFF","John Baker","Democratic",66
"Alabama","DeKalb","RODENTOWN COMM CTR","DeKALB COUNTY SHERIFF","Nick Welden","Republican",227
"Alabama","DeKalb","RODENTOWN COMM CTR","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STRAIGHT PARTY","Alabama Democratic Party","Democratic",35
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STRAIGHT PARTY","Alabama Republican Party","Republican",337
"Alabama","DeKalb","SAND MTN RESEARCH CTR","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",73
"Alabama","DeKalb","SAND MTN RESEARCH CTR","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",607
"Alabama","DeKalb","SAND MTN RESEARCH CTR","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",1
"Alabama","DeKalb","SAND MTN RESEARCH CTR","GOVERNOR","Walt Maddox","Democratic",96
"Alabama","DeKalb","SAND MTN RESEARCH CTR","GOVERNOR","Kay Ivey","Republican",593
"Alabama","DeKalb","SAND MTN RESEARCH CTR","GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","SAND MTN RESEARCH CTR","LIEUTENANT GOVERNOR","Will Boyd","Democratic",84
"Alabama","DeKalb","SAND MTN RESEARCH CTR","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",594
"Alabama","DeKalb","SAND MTN RESEARCH CTR","LIEUTENANT GOVERNOR","Write-In","No party",2
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ATTORNEY GENERAL","Joseph Siegelman","Democratic",93
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ATTORNEY GENERAL","Steve Marshall","Republican",594
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",115
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",558
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",1
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",587
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",6
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",586
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",6
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",584
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",5
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",91
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",570
"Alabama","DeKalb","SAND MTN RESEARCH CTR","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE TREASURER","John McMillan","Republican",577
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE TREASURER","Write-In","No party",6
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",578
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",5
"Alabama","DeKalb","SAND MTN RESEARCH CTR","SECRETARY OF STATE","Heather Milam","Democratic",86
"Alabama","DeKalb","SAND MTN RESEARCH CTR","SECRETARY OF STATE","John H. Merrill","Republican",585
"Alabama","DeKalb","SAND MTN RESEARCH CTR","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE AUDITOR","Miranda Karrine Joseph","Democratic",94
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE AUDITOR","Jim Zeigler","Republican",574
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE AUDITOR","Write-In","No party",1
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",584
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",5
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",578
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",7
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",581
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",6
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",580
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",6
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",580
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",5
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",579
"Alabama","DeKalb","SAND MTN RESEARCH CTR","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",5
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",85
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",575
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",94
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",567
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Jessica Fortune Barker","Democratic",92
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Wayne Reynolds","Republican",570
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",584
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",6
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",589
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",8
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE SENATOR, DISTRICT 9","Clay Scofield","Republican",512
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE SENATOR, DISTRICT 9","Write-In","No party",10
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE SENATOR, DISTRICT 10","Andrew Jones","Republican",70
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE SENATOR, DISTRICT 10","Craig Ford","Independent",17
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE SENATOR, DISTRICT 10","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE REPRESENTATIVE, DISTRICT 29","Jared Millican","Democratic",79
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE REPRESENTATIVE, DISTRICT 29","Becky Nordgren","Republican",598
"Alabama","DeKalb","SAND MTN RESEARCH CTR","STATE REPRESENTATIVE, DISTRICT 29","Write-In","No party",2
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",584
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",55
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",519
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",128
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",367
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",170
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",476
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",113
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",188
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",494
"Alabama","DeKalb","SAND MTN RESEARCH CTR","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",2
"Alabama","DeKalb","SAND MTN RESEARCH CTR","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",606
"Alabama","DeKalb","SAND MTN RESEARCH CTR","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",8
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",204
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",475
"Alabama","DeKalb","SAND MTN RESEARCH CTR","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",0
"Alabama","DeKalb","SAND MTN RESEARCH CTR","DeKALB COUNTY SHERIFF","John Baker","Democratic",185
"Alabama","DeKalb","SAND MTN RESEARCH CTR","DeKALB COUNTY SHERIFF","Nick Welden","Republican",495
"Alabama","DeKalb","SAND MTN RESEARCH CTR","DeKALB COUNTY SHERIFF","Write-In","No party",1
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STRAIGHT PARTY","Alabama Democratic Party","Democratic",62
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STRAIGHT PARTY","Alabama Republican Party","Republican",198
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",113
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",304
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","GOVERNOR","Walt Maddox","Democratic",102
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","GOVERNOR","Kay Ivey","Republican",320
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","LIEUTENANT GOVERNOR","Will Boyd","Democratic",105
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",312
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ATTORNEY GENERAL","Joseph Siegelman","Democratic",112
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ATTORNEY GENERAL","Steve Marshall","Republican",306
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ATTORNEY GENERAL","Write-In","No party",1
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",117
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",299
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",318
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",4
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",319
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",3
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",317
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",3
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",109
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",301
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE TREASURER","John McMillan","Republican",316
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE TREASURER","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",317
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","SECRETARY OF STATE","Heather Milam","Democratic",108
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","SECRETARY OF STATE","John H. Merrill","Republican",307
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE AUDITOR","Miranda Karrine Joseph","Democratic",115
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE AUDITOR","Jim Zeigler","Republican",299
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE AUDITOR","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",318
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",316
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",315
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",315
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",3
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",317
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",316
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",106
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",303
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",107
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",302
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Cynthia McCarty","Republican",315
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",326
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",3
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",346
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE SENATOR, DISTRICT 8","Steve Livingston","Republican",325
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE SENATOR, DISTRICT 8","Write-In","No party",4
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",327
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",312
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",57
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",265
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",105
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",222
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",95
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",262
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",77
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",168
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",253
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",1
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",341
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",112
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",307
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",0
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Chris Kuykendall","Republican",326
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Write-In","No party",2
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","DeKALB COUNTY SHERIFF","John Baker","Democratic",95
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","DeKALB COUNTY SHERIFF","Nick Welden","Republican",326
"Alabama","DeKalb","SENIOR CITIZEN FIVE POINT","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","SHADY GROVE BAPTIST","STRAIGHT PARTY","Alabama Democratic Party","Democratic",14
"Alabama","DeKalb","SHADY GROVE BAPTIST","STRAIGHT PARTY","Alabama Republican Party","Republican",178
"Alabama","DeKalb","SHADY GROVE BAPTIST","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",39
"Alabama","DeKalb","SHADY GROVE BAPTIST","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",285
"Alabama","DeKalb","SHADY GROVE BAPTIST","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","SHADY GROVE BAPTIST","GOVERNOR","Walt Maddox","Democratic",49
"Alabama","DeKalb","SHADY GROVE BAPTIST","GOVERNOR","Kay Ivey","Republican",276
"Alabama","DeKalb","SHADY GROVE BAPTIST","GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","SHADY GROVE BAPTIST","LIEUTENANT GOVERNOR","Will Boyd","Democratic",42
"Alabama","DeKalb","SHADY GROVE BAPTIST","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",280
"Alabama","DeKalb","SHADY GROVE BAPTIST","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","SHADY GROVE BAPTIST","ATTORNEY GENERAL","Joseph Siegelman","Democratic",56
"Alabama","DeKalb","SHADY GROVE BAPTIST","ATTORNEY GENERAL","Steve Marshall","Republican",267
"Alabama","DeKalb","SHADY GROVE BAPTIST","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","SHADY GROVE BAPTIST","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",53
"Alabama","DeKalb","SHADY GROVE BAPTIST","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",265
"Alabama","DeKalb","SHADY GROVE BAPTIST","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",273
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",270
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",272
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","SHADY GROVE BAPTIST","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",44
